prompt_id,phenomenon,pair_id,condition,object,action_family,expected_state,opposite_state,prompt
cut_move_apple_cut,cut_vs_move,apple,transition,apple,cut,intact apple becomes visibly cut into pieces,apple remains intact but changes position,"A close-up video of a whole apple on a wooden cutting board. A knife cuts the apple into clearly separated pieces. The final frame shows the apple visibly cut."
cut_move_apple_move,cut_vs_move,apple,control,apple,move,apple remains intact but changes position,intact apple becomes visibly cut into pieces,"A close-up video of a whole apple on a wooden cutting board. A hand moves the apple to the side without cutting it. The final frame shows the apple still whole and intact."
cut_move_paper_cut,cut_vs_move,paper,transition,paper,cut,sheet is visibly cut into two pieces,sheet remains intact but changes position,"A video of a single sheet of paper on a desk. Scissors cut the paper into two separated pieces. The final frame shows the paper split apart."
cut_move_paper_move,cut_vs_move,paper,control,paper,move,sheet remains intact but changes position,sheet is visibly cut into two pieces,"A video of a single sheet of paper on a desk. A hand slides the paper to another position without cutting it. The final frame shows one intact sheet."
cut_move_cloth_cut,cut_vs_move,cloth,transition,cloth,cut,cloth is visibly cut or torn into separated sections,cloth remains intact but changes position,"A video of a small cloth square on a table. Scissors cut the cloth into two visible sections. The final frame shows the cloth separated."
cut_move_cloth_move,cut_vs_move,cloth,control,cloth,move,cloth remains intact but changes position,cloth is visibly cut or torn into separated sections,"A video of a small cloth square on a table. A hand moves the cloth to the right without cutting it. The final frame shows the cloth still intact."
melt_warm_butter_melt,melt_vs_warm,butter,transition,butter,melt,solid butter becomes visibly melted or liquid,solid butter stays solid while becoming warm,"A close-up video of a small cube of butter in a pan. Heat melts the butter until it becomes a visible liquid puddle. The final frame shows melted butter."
melt_warm_butter_warm,melt_vs_warm,butter,control,butter,warm,solid butter stays solid while becoming warm,solid butter becomes visibly melted or liquid,"A close-up video of a small cube of butter in a pan. The butter is warmed gently but does not melt. The final frame shows the butter still solid."
melt_warm_chocolate_melt,melt_vs_warm,chocolate,transition,chocolate,melt,solid chocolate becomes visibly melted or liquid,solid chocolate stays solid while becoming warm,"A close-up video of a piece of chocolate on a plate. Heat melts the chocolate until it becomes soft and glossy liquid. The final frame shows melted chocolate."
melt_warm_chocolate_warm,melt_vs_warm,chocolate,control,chocolate,warm,solid chocolate stays solid while becoming warm,solid chocolate becomes visibly melted or liquid,"A close-up video of a piece of chocolate on a plate. The chocolate is warmed gently without melting. The final frame shows the chocolate still solid."
melt_warm_ice_melt,melt_vs_warm,ice,transition,ice,melt,solid ice becomes water,solid ice stays solid while becoming warm,"A close-up video of an ice cube on a plate. The ice cube melts into a small puddle of water. The final frame shows water where the ice was."
melt_warm_ice_warm,melt_vs_warm,ice,control,ice,warm,solid ice stays solid while becoming warm,solid ice becomes water,"A close-up video of an ice cube on a plate. The ice cube is warmed slightly but does not melt. The final frame shows the ice cube still solid."

